0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:52 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:52 +0100] "GET /cas/images/error.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:25:39 +0100] "POST /cas/login HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:25:39 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:25:39 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:25:39 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:25:39 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:14 +0100] "GET /cas/logout HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:15 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:15 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:15 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:15 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:20 +0100] "POST /cas/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:20 +0100] "GET /cas/login HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:20 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:20 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:20 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:26 +0100] "POST /cas/login HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:26 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:26 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:26 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:26 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:29 +0100] "GET /cas/logout HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:29 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:30 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:30 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:30 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:33 +0100] "POST /cas/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:33 +0100] "GET /cas/login HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:33 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:33 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:33 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:36 +0100] "POST /cas/login HTTP/1.1" 200 4812
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:37 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:37 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:37 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:37 +0100] "GET /cas/images/error.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:39 +0100] "POST /cas/login HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:39 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:39 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:40 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:26:40 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:32:37 +0100] "GET /cas/login HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:32:37 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:32:38 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:32:38 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:32:38 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:01 +0100] "GET /cas/login HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:01 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:01 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:01 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:01 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:03 +0100] "GET /cas/logout HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:04 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:04 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:04 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:04 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:22 +0100] "GET /cas/logout HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:22 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:22 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:22 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:22 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:37 +0100] "GET /cas/login HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:37 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:37 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:35:37 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:59:01 +0100] "GET /cas/logout HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:59:01 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:59:01 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:59:02 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:59:02 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:59:08 +0100] "GET /cas/login HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:59:08 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:59:08 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:59:08 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
